"jaar","maand","nuts3","mrsa","vre","esbl","cre","cpe","facre","fara","cpa","mrpa","ca"
2025,12,"Zuidoost-Friesland",0,0,26,1,1,0,0,0,1,0
2025,12,"Zuidwest-Drenthe",8,0,13,0,0,0,0,0,0,0
2025,12,"Zuidwest-Friesland",13,0,23,1,1,0,0,0,0,0
2026,1,"Delfzijl en omgeving",5,0,13,0,0,0,0,0,0,0
2026,1,"Flevoland",3,0,13,0,0,0,0,0,0,0
2026,1,"Noord-Drenthe",12,0,19,0,0,1,0,0,0,0
2026,1,"Noord-Friesland",24,4,48,0,0,2,0,0,0,0
2026,1,"Noord-Overijssel",0,0,3,0,0,0,0,0,0,0
2026,1,"Oost-Groningen",29,0,32,0,0,1,0,0,0,0
2026,1,"Overig Groningen",12,2,47,6,4,2,0,0,4,0
2026,1,"Zuidoost-Drenthe",7,0,39,0,0,3,0,0,1,0
2026,1,"Zuidoost-Friesland",6,0,29,1,1,0,0,0,0,0
2026,1,"Zuidwest-Drenthe",7,0,9,0,0,1,0,0,0,0
2026,1,"Zuidwest-Friesland",11,0,28,0,0,0,0,0,0,0
2026,2,"Delfzijl en omgeving",2,0,2,0,0,0,0,0,0,0
2026,2,"Flevoland",0,0,9,0,0,0,0,0,0,0
2026,2,"Noord-Drenthe",0,0,17,0,0,5,0,0,0,0
2026,2,"Noord-Friesland",16,0,35,0,0,2,0,0,0,0
2026,2,"Noord-Overijssel",0,0,6,0,0,0,0,0,0,0
2026,2,"Oost-Groningen",23,0,31,0,0,0,0,0,0,0
2026,2,"Overig Groningen",9,0,31,2,2,1,0,0,1,0
2026,2,"Zuidoost-Drenthe",21,0,28,1,1,2,0,0,0,0
2026,2,"Zuidoost-Friesland",2,0,34,1,1,8,0,0,0,0
2026,2,"Zuidwest-Drenthe",3,0,10,1,1,0,0,0,0,0
2026,2,"Zuidwest-Friesland",7,0,23,0,0,0,0,0,0,0
2026,3,"Delfzijl en omgeving",4,0,6,0,0,0,0,0,0,0
2026,3,"Flevoland",0,0,10,0,0,2,0,0,0,0
2026,3,"Noord-Drenthe",7,0,24,0,0,1,0,0,0,0
2026,3,"Noord-Friesland",23,0,62,1,1,0,0,0,0,1
2026,3,"Noord-Overijssel",0,0,2,0,0,0,0,0,0,0
2026,3,"Oost-Groningen",28,0,35,3,3,0,0,0,0,0
2026,3,"Overig Groningen",29,0,64,21,21,1,2,2,2,0
2026,3,"Zuidoost-Drenthe",7,0,26,0,0,0,0,0,0,0
2026,3,"Zuidoost-Friesland",8,0,45,0,0,4,0,0,0,0
2026,3,"Zuidwest-Drenthe",3,0,22,0,0,0,0,0,0,0
2026,3,"Zuidwest-Friesland",6,0,28,1,1,0,0,0,0,0
